"Polygenic Score ID & Name","PGS Publication ID (PGP)","Reported Trait","Mapped Trait(s) (Ontology)","Number of Variants","Ancestry distribution","Scoring File (FTP Link)"
PGS001449(GBE_INI25100),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean FA in uncinate fasciculus on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement",727,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001449/ScoringFiles/PGS001449.txt.gz
PGS001450(GBE_INI25367),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in anterior corona radiata on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement","1,490",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001450/ScoringFiles/PGS001450.txt.gz
PGS001451(GBE_INI25366),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in anterior corona radiata on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","2,090",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001451/ScoringFiles/PGS001451.txt.gz
PGS001452(GBE_INI25361),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in anterior limb of internal capsule on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement",870,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001452/ScoringFiles/PGS001452.txt.gz
PGS001453(GBE_INI25360),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in anterior limb of internal capsule on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","1,308",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001453/ScoringFiles/PGS001453.txt.gz
PGS001454(GBE_INI25347),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in body of corpus callosum on FA skeleton","neuroimaging measurement,<br>brain volume measurement","2,881",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001454/ScoringFiles/PGS001454.txt.gz
PGS001455(GBE_INI25359),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in cerebral peduncle on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement","1,907",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001455/ScoringFiles/PGS001455.txt.gz
PGS001456(GBE_INI25358),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in cerebral peduncle on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","1,501",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001456/ScoringFiles/PGS001456.txt.gz
PGS001457(GBE_INI25379),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in cingulum cingulate gyrus on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement","1,929",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001457/ScoringFiles/PGS001457.txt.gz
PGS001458(GBE_INI25378),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in cingulum cingulate gyrus on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","3,061",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001458/ScoringFiles/PGS001458.txt.gz
PGS001459(GBE_INI25381),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in cingulum hippocampus on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement","1,153",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001459/ScoringFiles/PGS001459.txt.gz
PGS001460(GBE_INI25380),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in cingulum hippocampus on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","2,400",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001460/ScoringFiles/PGS001460.txt.gz
PGS001461(GBE_INI25377),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in external capsule on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement",724,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001461/ScoringFiles/PGS001461.txt.gz
PGS001462(GBE_INI25376),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in external capsule on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","1,316",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001462/ScoringFiles/PGS001462.txt.gz
PGS001463(GBE_INI25383),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in fornix cres+stria terminalis on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement","1,353",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001463/ScoringFiles/PGS001463.txt.gz
PGS001464(GBE_INI25382),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in fornix cres+stria terminalis on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","2,387",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001464/ScoringFiles/PGS001464.txt.gz
PGS001465(GBE_INI25349),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in fornix on FA skeleton","neuroimaging measurement,<br>brain volume measurement",188,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001465/ScoringFiles/PGS001465.txt.gz
PGS001466(GBE_INI25346),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in genu of corpus callosum on FA skeleton","neuroimaging measurement,<br>brain volume measurement","2,530",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001466/ScoringFiles/PGS001466.txt.gz
PGS001467(GBE_INI25355),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in inferior cerebellar peduncle on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement",711,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001467/ScoringFiles/PGS001467.txt.gz
PGS001468(GBE_INI25354),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in inferior cerebellar peduncle on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","1,262",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001468/ScoringFiles/PGS001468.txt.gz
PGS001469(GBE_INI25353),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in medial lemniscus on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement",246,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001469/ScoringFiles/PGS001469.txt.gz
PGS001470(GBE_INI25352),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in medial lemniscus on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement",250,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001470/ScoringFiles/PGS001470.txt.gz
PGS001471(GBE_INI25344),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in middle cerebellar peduncle on FA skeleton","neuroimaging measurement,<br>brain volume measurement","1,580",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001471/ScoringFiles/PGS001471.txt.gz
PGS001472(GBE_INI25371),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in posterior corona radiata on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement","2,727",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001472/ScoringFiles/PGS001472.txt.gz
PGS001473(GBE_INI25370),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in posterior corona radiata on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","1,934",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001473/ScoringFiles/PGS001473.txt.gz
PGS001474(GBE_INI25363),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in posterior limb of internal capsule on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement","2,010",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001474/ScoringFiles/PGS001474.txt.gz
PGS001475(GBE_INI25362),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in posterior limb of internal capsule on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","1,957",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001475/ScoringFiles/PGS001475.txt.gz
PGS001476(GBE_INI25373),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in posterior thalamic radiation on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement","2,073",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001476/ScoringFiles/PGS001476.txt.gz
PGS001477(GBE_INI25372),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in posterior thalamic radiation on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","1,753",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001477/ScoringFiles/PGS001477.txt.gz
PGS001478(GBE_INI25365),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in retrolenticular part of internal capsule on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement","2,268",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001478/ScoringFiles/PGS001478.txt.gz
PGS001479(GBE_INI25364),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in retrolenticular part of internal capsule on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","2,113",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001479/ScoringFiles/PGS001479.txt.gz
PGS001480(GBE_INI25375),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in sagittal stratum on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement","1,651",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001480/ScoringFiles/PGS001480.txt.gz
PGS001481(GBE_INI25374),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in sagittal stratum on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","2,195",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001481/ScoringFiles/PGS001481.txt.gz
PGS001482(GBE_INI25357),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in superior cerebellar peduncle on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement","2,068",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001482/ScoringFiles/PGS001482.txt.gz
PGS001483(GBE_INI25356),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in superior cerebellar peduncle on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","1,420",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001483/ScoringFiles/PGS001483.txt.gz
PGS001484(GBE_INI25369),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in superior corona radiata on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement","2,789",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001484/ScoringFiles/PGS001484.txt.gz
PGS001485(GBE_INI25368),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in superior corona radiata on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","2,299",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001485/ScoringFiles/PGS001485.txt.gz
PGS001486(GBE_INI25387),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement",402,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001486/ScoringFiles/PGS001486.txt.gz
PGS001487(GBE_INI25386),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement",703,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001487/ScoringFiles/PGS001487.txt.gz
PGS001488(GBE_INI25385),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in superior longitudinal fasciculus on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement","1,974",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001488/ScoringFiles/PGS001488.txt.gz
PGS001489(GBE_INI25384),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in superior longitudinal fasciculus on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement","1,750",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001489/ScoringFiles/PGS001489.txt.gz
PGS001490(GBE_INI25391),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in tapetum on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement","1,117",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001490/ScoringFiles/PGS001490.txt.gz
PGS001491(GBE_INI25389),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in uncinate fasciculus on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement",962,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001491/ScoringFiles/PGS001491.txt.gz
PGS001492(GBE_INI25388),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ICVF in uncinate fasciculus on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement",641,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001492/ScoringFiles/PGS001492.txt.gz
PGS001493(GBE_INI25463),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ISOVF in anterior corona radiata on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement",393,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001493/ScoringFiles/PGS001493.txt.gz
PGS001494(GBE_INI25462),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ISOVF in anterior corona radiata on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement",116,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001494/ScoringFiles/PGS001494.txt.gz
PGS001495(GBE_INI25443),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ISOVF in body of corpus callosum on FA skeleton","neuroimaging measurement,<br>brain volume measurement",627,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001495/ScoringFiles/PGS001495.txt.gz
PGS001496(GBE_INI25475),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ISOVF in cingulum cingulate gyrus on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement",114,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001496/ScoringFiles/PGS001496.txt.gz
PGS001497(GBE_INI25474),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ISOVF in cingulum cingulate gyrus on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement",157,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001497/ScoringFiles/PGS001497.txt.gz
PGS001498(GBE_INI25473),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ISOVF in external capsule on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement",142,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001498/ScoringFiles/PGS001498.txt.gz
PGS001499(GBE_INI25445),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ISOVF in fornix on FA skeleton","neuroimaging measurement,<br>brain volume measurement",733,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001499/ScoringFiles/PGS001499.txt.gz
PGS001500(GBE_INI25467),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ISOVF in posterior corona radiata on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement",466,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001500/ScoringFiles/PGS001500.txt.gz
PGS001501(GBE_INI25469),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ISOVF in posterior thalamic radiation on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement",554,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001501/ScoringFiles/PGS001501.txt.gz
PGS001502(GBE_INI25471),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ISOVF in sagittal stratum on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement",400,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001502/ScoringFiles/PGS001502.txt.gz
PGS001503(GBE_INI25470),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ISOVF in sagittal stratum on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement",709,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001503/ScoringFiles/PGS001503.txt.gz
PGS001504(GBE_INI25452),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ISOVF in superior cerebellar peduncle on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement",666,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001504/ScoringFiles/PGS001504.txt.gz
PGS001505(GBE_INI25465),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ISOVF in superior corona radiata on FA skeleton (L)","neuroimaging measurement,<br>brain volume measurement",257,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001505/ScoringFiles/PGS001505.txt.gz
PGS001506(GBE_INI25464),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean ISOVF in superior corona radiata on FA skeleton (R)","neuroimaging measurement,<br>brain volume measurement",392,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001506/ScoringFiles/PGS001506.txt.gz
PGS001507(GBE_INI25028),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Median T2star in caudate (L)","neuroimaging measurement","1,009",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001507/ScoringFiles/PGS001507.txt.gz
PGS001508(GBE_INI25029),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Median T2star in caudate (R)","neuroimaging measurement",930,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001508/ScoringFiles/PGS001508.txt.gz
PGS001509(GBE_INI25032),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Median T2star in pallidum (L)","neuroimaging measurement",942,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001509/ScoringFiles/PGS001509.txt.gz
PGS001510(GBE_INI25033),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Median T2star in pallidum (R)","neuroimaging measurement","2,164",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001510/ScoringFiles/PGS001510.txt.gz
PGS001511(GBE_INI25030),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Median T2star in putamen (L)","neuroimaging measurement","1,922",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001511/ScoringFiles/PGS001511.txt.gz
PGS001512(GBE_INI25031),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Median T2star in putamen (R)","neuroimaging measurement","2,474",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001512/ScoringFiles/PGS001512.txt.gz
PGS001513(GBE_INI25027),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Median T2star in thalamus (R)","neuroimaging measurement",114,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001513/ScoringFiles/PGS001513.txt.gz
PGS001514(GBE_INI87),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Non-cancer illness year/age first occurred",disease,273,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001514/ScoringFiles/PGS001514.txt.gz
PGS001515(GBE_INI3456),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Number of cigarettes currently smoked daily (current cigarette smokers)","cigarettes per day measurement",9,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001515/ScoringFiles/PGS001515.txt.gz
PGS001516(GBE_HC1112),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Other diseases of intestine (time-to-event)","intestinal disease",90,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001516/ScoringFiles/PGS001516.txt.gz
PGS001517(GBE_INI30090),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Platelet crit","platelet crit","20,910",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001517/ScoringFiles/PGS001517.txt.gz
PGS001518(GBE_INI100010),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Portion size","diet measurement",591,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001518/ScoringFiles/PGS001518.txt.gz
PGS001519(GBE_INI4199),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Position of pulse wave notch","arterial stiffness measurement",693,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001519/ScoringFiles/PGS001519.txt.gz
PGS001520(GBE_INI4198),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Position of the pulse wave peak","arterial stiffness measurement","1,358",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001520/ScoringFiles/PGS001520.txt.gz
PGS001521(GBE_INI22330),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","PQ interval","PR interval",391,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001521/ScoringFiles/PGS001521.txt.gz
PGS001522(GBE_HC1213),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Psoriatic and enteropathic arthropathies (time-to-event)",Arthropathy,17,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001522/ScoringFiles/PGS001522.txt.gz
